Sample_ID,Category,Bins,Contig_ID,Matched_Species,Abbreviated_Gene_Name,Counts,Protein Accession,ARO_ID,Percentage of identical matches, Alignment length,Number of mismatches,Number of gap openings,Start of alignment in query,End of alignment in query,Start of alignment in subject, End of alignment in subject,Expected value,Bit score,CVTERM ID,Model Sequence ID,Model ID,ARO_Name,DNA Accession,AMR Gene Family,Drug/Antibiotics_Class,Resistance Mechanism,,,,
SRR5240520,Ambulances,SRR5240520_bin.6,xx222,Stutzerimonas stutzeri CCUG 29243 (taxid 1196835),Paer_gyrA_FLO,2,AAG06556.1,ARO:3003684,83.5,924,140,6,9728,6987,1,922,0,1464,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240562,Ambulances,SRR5240562_bin.2,xx5,Pseudomonas sp. 7SR1 (taxid 1881017),Paer_ParC_FLO,2,BAA37152.1,ARO:3003702,83.5,751,122,1,61914,59662,1,749,0,1239,40355,3408,2215,Pseudomonas aeruginosa gyrA and parC conferring resistance to fluoroquinolones,AB003428.1,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240606,Ambulances,SRR5240606_bin.5,xx24,Leclercia sp. 119287 (taxid 2681308),eptB,1,CCI79240.1,ARO:3005047,83.5,563,92,1,10348,8663,9,571,1.28e-315,956,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240616,Ambulances,SRR5240616_bin.3,xx232,Pseudomonas sp. MM227 (taxid 3019968),Paer_gyrA_FLO,3,AAG06556.1,ARO:3003684,83.5,901,145,1,9290,6588,1,897,0,1440,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240617,Ambulances,SRR5240617_bin.3,xx67,Pseudomonas psychrotolerans (taxid 237610),Paer_CpxR,3,SIP52035.1,ARO:3004054,83.5,224,37,0,44514,45185,1,224,1.54E-117,372,41119,4526,2685,Pseudomonas aeruginosa CpxR,LT673656.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240638,Ambulances,SRR5240638_bin.7,xx479,Stutzerimonas stutzeri (taxid 316),Paer_gyrA_FLO,2,AAG06556.1,ARO:3003684,83.5,925,141,6,2737,5481,1,923,0,1465,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240641,Ambulances,SRR5240641_bin.2,xx72,Leclercia sp. 29361 (taxid 2714951),ugd,2,AAC75089.1,ARO:3003577,83.5,388,64,0,19572,18409,1,388,1.16E-209,642,40187,4591,842,ugd,U00096.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240676,Ambulances,SRR5240676_bin.3,xx58,Pseudomonas sp. SGAir0191 (taxid 2217867),MexT,1,AAG05880.1,ARO:3000814,83.5,261,43,0,48459,49241,79,339,7.37E-136,429,37194,5414,1608,MexT,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR5240682,Ambulances,SRR5240682_bin.4,xx17,Stutzerimonas stutzeri (taxid 316),Paer_gyrA_FLO,1,AAG06556.1,ARO:3003684,83.5,925,141,6,290224,287480,1,923,0,1465,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240287,Ambulances,SRR5240287_bin.2,xx299,Acinetobacter lwoffii (taxid 28090),adeJ,1,AAX14802.1,ARO:3000781,83.4,1059,174,2,10992,7819,1,1058,0,1706,37161,1,630,adeJ,AY769962.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,carbapenem;cephalosporin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;lincosamide antibiotic;macrolide antibiotic;penem;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240326,Ambulances,SRR5240326_bin.2,xx164,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,15,3110,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240339,Ambulances,SRR5240339_bin.2,xx48,Stutzerimonas stutzeri DSM 10701 (taxid 1123519),Paer_gyrA_FLO,1,AAG06556.1,ARO:3003684,83.4,925,142,6,3163,5907,1,923,0,1464,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240368,Ambulances,SRR5240368_bin.11,xx5,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,10441,13536,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240378,Ambulances,SRR5240378_bin.5,xx17,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,10465,13560,1,1032,0,1644,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240442,Ambulances,SRR5240442_bin.5,xx45,Mixta hanseatica (taxid 2872648),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.4,843,135,2,39044,41572,1,838,0,1463,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240470,Ambulances,SRR5240470_bin.10,xx116,Pseudomonas sp. MM211 (taxid 2866808),MexK,5,AAG07064.1,ARO:3003693,83.4,1020,169,0,21588,24647,1,1020,0,1637,40341,4651,2206,MexK,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240472,Ambulances,SRR5240472_bin.1,xx14,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,10401,13496,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240500,Ambulances,SRR5240500_bin.8,xx306,Pseudomonas phytophila (taxid 2867264),Paer_CpxR,1,SIP52035.1,ARO:3004054,83.4,223,37,0,5450,6118,1,223,7.17E-117,368,41119,4526,2685,Pseudomonas aeruginosa CpxR,LT673656.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240518,Ambulances,SRR5240518_bin.14,xx144,Cronobacter sakazakii (taxid 28141),kdpE,3,AAC73788.1,ARO:3003841,83.4,223,37,0,45128,45796,3,225,6.72E-120,378,40534,5205,2331,kdpE,U00096.3,kdpDE,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240518,Ambulances,SRR5240518_bin.8,xx11,Stutzerimonas stutzeri RCH2 (taxid 644801),Paer_gyrA_FLO,1,AAG06556.1,ARO:3003684,83.4,925,142,6,38098,40842,1,923,0,1464,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240522,Ambulances,SRR5240522_bin.12,xx17,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,406632,403537,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240533,Ambulances,SRR5240533_bin.2,xx9,Erwinia rhapontici (taxid 55212),acrB,2,AAC73564.1,ARO:3000216,83.4,1051,171,2,26566,23417,1,1049,0,1691,36355,5485,1104,acrB,U00096.3,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;disinfecting agents and antiseptics;fluoroquinolone antibiotic;glycylcycline;penam;phenicol antibiotic;rifamycin antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240566,Ambulances,SRR5240566_bin.9,xx201,Cronobacter condimenti 1330 (taxid 1073999),kdpE,2,AAC73788.1,ARO:3003841,83.4,223,37,0,4399,3731,3,225,2.65E-120,378,40534,5205,2331,kdpE,U00096.3,kdpDE,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240572,Ambulances,SRR5240572_bin.5,xx114,Pseudomonas cedrina (taxid 651740),MexK,1,AAG07064.1,ARO:3003693,83.4,1019,167,1,7927,10977,1,1019,0,1632,40341,4651,2206,MexK,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240586,Ambulances,SRR5240586_bin.3,xx108,Pseudomonas phytophila (taxid 2867264),Paer_CpxR,2,SIP52035.1,ARO:3004054,83.4,223,37,0,21540,22208,1,223,1.14E-116,368,41119,4526,2685,Pseudomonas aeruginosa CpxR,LT673656.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic;aminoglycoside antibiotic;carbapenem;cephalosporin;cephamycin;diaminopyrimidine antibiotic;fluoroquinolone antibiotic;macrolide antibiotic;monobactam;penam;penem;peptide antibiotic;phenicol antibiotic;sulfonamide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240615,Ambulances,SRR5240615_bin.5,xx101,Cronobacter dublinensis (taxid 413497),kdpE,2,AAC73788.1,ARO:3003841,83.4,223,37,0,21168,20500,3,225,5.71E-120,378,40534,5205,2331,kdpE,U00096.3,kdpDE,aminoglycoside antibiotic,antibiotic efflux,,,,
SRR5240631,Ambulances,SRR5240631_bin.4,xx18,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,201195,198100,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240639,Ambulances,SRR5240639_bin.11,xx157,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.4,1032,171,0,45716,42621,1,1032,0,1643,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240683,Ambulances,SRR5240683_bin.3,xx320,Psychrobacter sp. WB2 (taxid 3043330),Abau_parC_FLO,2,WP_000202252.1,ARO:3003818,83.4,211,35,0,635,3,10,220,8.52E-110,366,40508,6039,2315,Acinetobacter baumannii parC conferring resistance to fluoroquinolones,NZ_CP009257.1,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240308,Ambulances,SRR5240308_bin.10,xx504,Pseudomonas oryzihabitans (taxid 47885),Abau_AbaQ,12,ACJ41547.2,ARO:3004574,83.3,78,13,0,235,2,4,81,3.56E-33,132,42490,5314,3278,Acinetobacter baumannii AbaQ,CP001182.2,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240334,Ambulances,SRR5240334_bin.4,xx66,Pseudomonas sp. SGAir0191 (taxid 2217867),MexT,4,AAG05880.1,ARO:3000814,83.3,269,45,0,20460,19654,79,347,2.65E-141,445,37194,5414,1608,MexT,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
SRR5240334,Ambulances,SRR5240334_bin.9,xx34,Leclercia adecarboxylata (taxid 83655),eptB,1,CCI79240.1,ARO:3005047,83.3,564,93,1,2092,404,8,571,1.92e-314,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240353,Ambulances,SRR5240353_bin.2,xx48,Pantoea sp. MT58 (taxid 2768165),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,83.3,750,124,1,16234,18483,3,751,0,1230,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240384,Ambulances,SRR5240384_bin.6,xx12,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.3,1032,172,0,214750,211655,1,1032,0,1642,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240398,Ambulances,SRR5240398_bin.11,xx58,[Pseudomonas] zhaodongensis (taxid 1176257),Paer_gyrA_FLO,1,AAG06556.1,ARO:3003684,83.3,926,141,6,49524,46780,1,923,0,1463,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240452,Ambulances,SRR5240452_bin.10,xx23,Leclercia adecarboxylata (taxid 83655),eptB,1,CCI79240.1,ARO:3005047,83.3,564,93,1,129433,131121,8,571,2.01e-314,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240457,Ambulances,SRR5240457_bin.2,xx23,Duffyella gerundensis (taxid 1619313),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.3,842,135,3,67266,69779,1,840,0,1448,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240483,Ambulances,SRR5240483_bin.1,xx92,Mixta calida (taxid 665913),emrB,2,AAC75733.1,ARO:3000074,83.3,509,85,0,10619,9093,4,512,1.08E-277,843,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240500,Ambulances,SRR5240500_bin.9,xx149,Mixta calida (taxid 665913),emrB,2,AAC75733.1,ARO:3000074,83.3,509,85,0,10617,9091,4,512,1.08E-277,843,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240518,Ambulances,SRR5240518_bin.15,xx387,Massilia sp. NP310 (taxid 2861282),rpsJ,1,AAW90462.1,ARO:3003930,83.3,102,17,0,26921,26616,2,103,4.71E-49,169,40640,5267,2406,rpsJ,AE004969.1,tetracycline-resistant ribosomal protection protein,tetracycline antibiotic,antibiotic target protection,,,,
SRR5240518,Ambulances,SRR5240518_bin.6,xx362,Acinetobacter radioresistens DSM 6976 = NBRC 102413 = CIP 103788 (taxid 981334),LpsB,1,QFQ03949.1,ARO:3005051,83.3,365,61,0,25940,27034,1,365,4.02E-202,619,43252,6088,3793,LpsB,CP045110.1,Intrinsic peptide antibiotic resistant Lps,peptide antibiotic,reduced permeability to antibiotic,,,,
SRR5240522,Ambulances,SRR5240522_bin.11,xx11,Mixta hanseatica (taxid 2872648),mdtB,1,AAC75136.1,ARO:3000793,83.3,1040,174,0,267590,264471,1,1040,0,1626,37173,215,820,mdtB,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,,,,
SRR5240534,Ambulances,SRR5240534_bin.5,xx376,Leclercia adecarboxylata (taxid 83655),eptB,1,CCI79240.1,ARO:3005047,83.3,564,93,1,1868,180,8,571,0,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240564,Ambulances,SRR5240564_bin.6,xx28,Pseudomonas sp. MTM4 (taxid 2705472),Paer_gyrA_FLO,2,AAG06556.1,ARO:3003684,83.3,924,144,5,32953,30209,1,923,0,1459,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240572,Ambulances,SRR5240572_bin.4,xx138,Mixta calida (taxid 665913),emrB,2,AAC75733.1,ARO:3000074,83.3,509,85,0,33958,35484,4,512,1.08E-277,843,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240604,Ambulances,SRR5240604_bin.4,xx2,Pantoea vagans C9-1 (taxid 712898),mdtB,1,AAC75136.1,ARO:3000793,83.3,1037,173,0,187496,190606,1,1037,0,1620,37173,215,820,mdtB,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,,,,
SRR5240615,Ambulances,SRR5240615_bin.7,xx135,Mixta calida (taxid 665913),emrB,3,AAC75733.1,ARO:3000074,83.3,509,85,0,10617,9091,4,512,1.08E-277,843,36213,20,1847,emrB,U00096.1,major facilitator superfamily (MFS) antibiotic efflux pump,fluoroquinolone antibiotic,antibiotic efflux,,,,
SRR5240619,Ambulances,SRR5240619_bin.5,xx167,Leclercia sp. 29361 (taxid 2714951),Ecol_nfsA_NIT,1,AAC73938.1,ARO:3003751,83.3,240,40,0,2972,3691,1,240,4.03E-134,418,40407,5371,2267,Escherichia coli nfsA mutations conferring resistance to nitrofurantoin,U00096.3,antibiotic resistant nfsA,nitrofuran antibiotic,antibiotic target alteration,,,,
SRR5240637,Ambulances,SRR5240637_bin.2,xx37,Leclercia adecarboxylata (taxid 83655),eptB,1,CCI79240.1,ARO:3005047,83.3,564,93,1,127829,129517,8,571,1.98e-314,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240639,Ambulances,SRR5240639_bin.6,xx306,Pantoea agglomerans (taxid 549),Kleb_PhoP_CST,2,CDO13981.1,ARO:3003585,83.3,222,37,0,1632,967,1,222,1.81E-118,373,40195,4715,1320,Klebsiella mutant PhoP conferring antibiotic resistance to colistin,FO834906.1,ATP-binding cassette (ABC) antibiotic efflux pump;pmr phosphoethanolamine transferase;transmembrane protein conferring colistin resistance,macrolide antibiotic;peptide antibiotic,antibiotic efflux;antibiotic target alteration;resistance by absence,,,,
SRR5240651,Ambulances,SRR5240651_bin.5,xx97,Staphylococcus epidermidis ATCC 12228 (taxid 176280),Saur_pgsA_DAP,2,BAB95031.1,ARO:3003323,83.3,192,32,0,12418,12993,1,192,1.42E-94,303,39907,5359,462,Staphylococcus aureus pgsA mutations conferring resistance to daptomycin,BA000033.2,daptomycin resistant pgsA,peptide antibiotic,antibiotic target alteration,,,,
SRR5240663,Ambulances,SRR5240663_bin.19,xx196,Pseudomonas aeruginosa 39016 (taxid 798130),Ecol_EFTu_KIR,1,AAA50993.1,ARO:3003368,83.3,258,40,1,48557,47784,139,393,6.12E-134,425,39952,3531,2137,Escherichia coli EF-Tu mutants conferring resistance to kirromycin,AH002539.2,elfamycin resistant EF-Tu,elfamycin antibiotic,antibiotic target alteration,,,,
SRR5240667,Ambulances,SRR5240667_bin.1,xx83,Pseudomonas muyukensis (taxid 2842357),MexK,2,AAG07064.1,ARO:3003693,83.3,1021,167,2,19652,22702,1,1021,0,1633,40341,4651,2206,MexK,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,disinfecting agents and antiseptics;macrolide antibiotic;tetracycline antibiotic,antibiotic efflux,,,,
SRR5240672,Ambulances,SRR5240672_bin.3,xx102,Leclercia adecarboxylata (taxid 83655),eptB,2,CCI79240.1,ARO:3005047,83.3,564,93,1,10243,8555,8,571,1.07e-314,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240674,Ambulances,SRR5240674_bin.7,xx616,Leclercia adecarboxylata (taxid 83655),eptB,1,CCI79240.1,ARO:3005047,83.3,564,93,1,2202,514,8,571,0,953,43246,6086,3791,eptB,FO203501.1,pmr phosphoethanolamine transferase,peptide antibiotic,antibiotic target alteration,,,,
SRR5240315,Ambulances,SRR5240315_bin.7,xx19,Pantoea sp. MT58 (taxid 2768165),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,83.2,750,125,1,32643,34892,3,751,0,1229,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240317,Ambulances,SRR5240317_bin.16,xx111,Clostridium argentinense (taxid 29341),Cdif_rpoB_RIF,1,ADK17136.1,ARO:3004563,83.2,1190,199,1,43508,39939,1,1189,0,1994,42470,5315,3269,Clostridioides difficile rpoB with mutation conferring resistance to rifampicin,CP001666.1,rifamycin-resistant beta-subunit of RNA polymerase (rpoB),peptide antibiotic;rifamycin antibiotic,antibiotic target alteration;antibiotic target replacement,,,,
SRR5240333,Ambulances,SRR5240333_bin.2,xx4,Pseudescherichia vulneris (taxid 566),AcrF,1,AAC76298.1,ARO:3000502,83.2,1032,173,0,10575,13670,1,1032,0,1630,36641,700,1437,AcrF,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,cephalosporin;cephamycin;fluoroquinolone antibiotic;penam,antibiotic efflux,,,,
SRR5240353,Ambulances,SRR5240353_bin.2,xx418,Pantoea vagans (taxid 470934),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.2,841,139,1,5511,8033,1,839,0,1442,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240355,Ambulances,SRR5240355_bin.4,xx5,Pantoea eucalypti (taxid 470933),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,83.2,750,125,1,272352,270103,3,751,0,1229,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240389,Ambulances,SRR5240389_bin.10,xx5,Mixta hanseatica (taxid 2872648),mdtB,2,AAC75136.1,ARO:3000793,83.2,1040,175,0,166529,169648,1,1040,0,1625,37173,215,820,mdtB,U00096.1,resistance-nodulation-cell division (RND) antibiotic efflux pump,aminocoumarin antibiotic,antibiotic efflux,,,,
SRR5240403,Ambulances,SRR5240403_bin.2,xx22,Stutzerimonas stutzeri CCUG 29243 (taxid 1196835),Paer_gyrA_FLO,2,AAG06556.1,ARO:3003684,83.2,926,142,6,264438,261694,1,923,0,1463,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240406,Ambulances,SRR5240406_bin.5,xx199,Stutzerimonas stutzeri CCUG 29243 (taxid 1196835),Paer_gyrA_FLO,3,AAG06556.1,ARO:3003684,83.2,926,142,6,16509,19253,1,923,0,1463,40319,5277,2196,Pseudomonas aeruginosa gyrA conferring resistance to fluoroquinolones,AE004091.2,fluoroquinolone resistant gyrA,fluoroquinolone antibiotic;nybomycin-like antibiotic,antibiotic target alteration,,,,
SRR5240445,Ambulances,SRR5240445_bin.6,xx76,Pantoea sp. MT58 (taxid 2768165),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.2,841,139,1,69798,72320,1,839,0,1442,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240453,Ambulances,SRR5240453_bin.5,xx184,Pantoea vagans (taxid 470934),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.2,841,139,1,16917,14395,1,839,0,1442,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240469,Ambulances,SRR5240469_bin.4,xx969,Pantoea vagans (taxid 470934),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,83.2,750,125,1,8737,6488,3,751,0,1229,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240470,Ambulances,SRR5240470_bin.6,xx50,Pantoea sp. MT58 (taxid 2768165),Ecol_parC_FLO,1,AAC76055.1,ARO:3003308,83.2,750,125,1,57897,55648,3,751,0,1229,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240479,Ambulances,SRR5240479_bin.5,xx15,Pantoea sp. MT58 (taxid 2768165),Ecol_parC_FLO,2,AAC76055.1,ARO:3003308,83.2,750,125,1,177888,175639,3,751,0,1229,39892,4704,1450,Escherichia coli parC conferring resistance to fluoroquinolones,U00096.3,fluoroquinolone resistant parC,fluoroquinolone antibiotic,antibiotic target alteration,,,,
SRR5240479,Ambulances,SRR5240479_bin.5,xx115,Pantoea sp. MT58 (taxid 2768165),Ecol_cyaA_FOF,1,CDJ73082.1,ARO:3003900,83.2,841,139,1,5443,7965,1,839,0,1442,40602,4616,2379,Escherichia coli cyaA with mutation conferring resistance to fosfomycin,HG738867.1,antibiotic-resistant cya adenylate cyclase,phosphonic acid antibiotic,antibiotic target alteration,,,,
SRR5240494,Ambulances,SRR5240494_bin.2,xx629,Pseudomonas putida (taxid 303),MexF,1,AAG05882.1,ARO:3000804,83.2,570,94,1,4913,3210,483,1052,7.73e-321,934,37184,5530,1300,MexF,AE004091.2,resistance-nodulation-cell division (RND) antibiotic efflux pump,diaminopyrimidine antibiotic;fluoroquinolone antibiotic;phenicol antibiotic,antibiotic efflux,,,,
